,Artists,Titles,Lyrics(BOW)
10,clinton fearon,richman poorman,"['the', 'rich', 'man', 'poor', 'man', 'beggar', 'man', 'thief', 'everyon', 'claim', 'that', 'them', 'are', 'the', 'chief', 'the', 'rich', 'man', 'buy', 'the', 'poor', 'man', ""'s"", 'life', 'the', 'poor', 'man', 'take', 'away', 'the', 'beggar', 'man', ""'s"", 'wife', 'Do', ""n't"", 'cri', 'my', 'brother', 'Do', ""n't"", 'cri', 'my', 'sister', 'tear', 'wo', ""n't"", 'chang', 'the', 'situat', 'It', ""'s"", 'just', 'a', 'form', 'a', 'form', 'of', 'reaction', 'If', 'you', 'step', 'on', 'fire', 'fire', 'burn', 'you', 'If', 'you', 'play', 'with', 'puppi', 'puppi', 'lick', 'your', 'mouth', 'So', 'stand', 'up', 'strong', 'you', 'got', 'to', 'know', 'where', 'you', 'belong', 'say', 'the', 'weak', 'one', 'now', 'will', 'soon', 'becom', 'strong', 'hey', 'everyth', 'will', 'soon', 'be', 'okay', 'As', 'soon', 'as', 'the', 'war', 'is', 'over', 'jah', 'children', 'will', 'be', 'free', 'to', 'come', 'over', 'sing', 'and', 'danc', 'readi', 'to', 'take', 'over', 'have', 'some', 'faith', 'have', 'a', 'littl', 'faith', 'hey', 'everyth', 'will', 'soon', 'he', 'okay', 'As', 'soon', 'as', 'the', 'war', 'is', 'over', 'jah', 'children', 'will', 'be', 'free', 'to', 'come', 'over', 'sing', 'and', 'danc', 'readi', 'to', 'take', 'over', 'have', 'some', 'faith', 'have', 'a', 'littl', 'faith', 'by', 'preto']"
11,Tiken Jah Fakoly,Is It Because I'm Black,"['My', 'peopl', '...', 'the', 'dark', 'brown', 'shade', 'of', 'my', 'skin', 'onli', 'add', 'colour', 'to', 'my', 'tear', 'that', 'splash', 'against', 'my', 'hollow', 'bone', 'that', 'rock', 'my', 'soul', 'look', 'back', 'over', 'my', 'fals', 'dream', 'that', 'I', 'onc', 'knew', 'wonder', 'whi', 'my', 'dream', 'never', 'came', 'true', 'somebodi', 'tell', 'me', '...', 'what', 'can', 'I', 'do', 'someth', 'is', 'hold', 'me', 'back', '(', 'hold', 'me', 'back', ')', 'Is', 'it', 'becaus', 'I', ""'m"", 'black', '?', 'yeahhh', 'In', 'thi', 'world', 'of', 'no', 'piti', 'I', 'wa', 'rais', 'in', 'the', 'ghetto', 'of', 'the', 'citi', 'momma', 'she', 'work', 'so', 'hard', 'To', 'earn', 'everi', 'penni', 'someth', 'is', 'hold', 'me', 'back', 'Is', 'it', 'becaus', 'I', ""'m"", 'black', '?', '(', 'Is', 'it', 'becaus', 'I', ""'m"", 'black', '?', ')', 'someth', 'is', 'hold', 'me', 'back', 'Is', 'it', 'becaus', 'I', ""'m"", 'black', '?', '*interlud', 'musical*', 'tell', 'me', 'becaus', 'I', ""'m"", 'a', 'color', 'someth', 'is', 'hold', 'me', 'back', 'like', 'a', 'child', 'steel', 'hi', 'first', 'piec', 'of', 'candi', '...', 'and', 'got', 'caught', 'wonder', 'around', 'life', ""'s"", 'corner', 'somewher', 'I', 'got', 'lost', 'someth', 'is', 'hold', 'me', 'back', 'Is', 'it', 'becaus', 'I', ""'m"", 'black', '?', '(', 'I', 'want', 'to', 'know', 'I', 'want', 'to', 'know', '.', 'yeahhh', '...', ')', 'someth', 'is', 'hold', 'me', 'back', '(', 'peopl', ')', 'Is', 'it', 'becaus', 'I', ""'m"", 'black', '?', '(', 'tell', 'me', '...', 'ca', ""n't"", 'you', 'see', ')', 'somebodi', '...', 'pleas', 'tell', 'me', '.', 'Is', 'it', 'becaus', 'I', ""'m"", 'black', '?', '(', 'Is', 'it', 'becaus', 'of', 'my', 'color', '?', ')']"
12,nina simone,feeling good,"['bird', 'flyin', ""'"", 'high', 'you', 'know', 'how', 'I', 'feel', 'sun', 'in', 'the', 'sky', 'you', 'know', 'how', 'I', 'feel', 'breez', 'driftin', ""'"", 'on', 'by', 'you', 'know', 'how', 'I', 'feel', 'It', ""'s"", 'a', 'new', 'dawn', 'it', ""'s"", 'a', 'new', 'day', 'it', ""'s"", 'a', 'new', 'life', 'for', 'me', 'yeah', 'it', ""'s"", 'a', 'new', 'dawn', 'it', ""'s"", 'a', 'new', 'day', 'it', ""'s"", 'a', 'new', 'life', 'for', 'me', 'ooooooooh', 'and', 'I', ""'m"", 'feelin', ""'"", 'good', 'fish', 'in', 'the', 'sea', 'you', 'know', 'how', 'I', 'feel', 'river', 'runnin', ""'"", 'free', 'you', 'know', 'how', 'I', 'feel', 'blossom', 'on', 'the', 'tree', 'you', 'know', 'how', 'I', 'feel', 'It', ""'s"", 'a', 'new', 'dawn', 'it', ""'s"", 'a', 'new', 'day', 'it', ""'s"", 'a', 'new', 'life', 'for', 'me', 'and', 'I', ""'m"", 'feelin', ""'"", 'good', 'dragonfli', 'out', 'in', 'the', 'sun', 'you', 'know', 'what', 'I', 'mean', 'do', ""n't"", 'you', 'know', 'butterfli', 'all', 'havin', ""'"", 'fun', 'you', 'know', 'what', 'I', 'mean', 'sleep', 'in', 'peac', 'when', 'day', 'is', 'done', ':', 'that', ""'s"", 'what', 'I', 'mean', 'and', 'thi', 'old', 'world', 'is', 'a', 'new', 'world', 'and', 'a', 'bold', 'world', 'for', 'me', 'star', 'when', 'you', 'shine', 'you', 'know', 'how', 'I', 'feel', 'scent', 'of', 'the', 'pine', 'you', 'know', 'how', 'I', 'feel', 'Oh', 'freedom', 'is', 'mine', 'and', 'I', 'know', 'how', 'I', 'feel', 'It', ""'s"", 'a', 'new', 'dawn', 'it', ""'s"", 'a', 'new', 'day', 'it', ""'s"", 'a', 'new', 'life', 'for', 'me', 'and', 'I', ""'m"", 'feelin', ""'"", '...', 'good']"
13,radiohead,weird fishes,[]
14,radiohead,all i need,"['I', ""'m"", 'the', 'next', 'step', 'wait', 'in', 'the', 'wing', 'I', ""'m"", 'an', 'anim', 'trap', 'in', 'your', 'hot', 'car', 'I', 'am', 'all', 'the', 'day', 'that', 'you', 'choos', 'to', 'ignor', 'you', 'are', 'all', 'I', 'need', 'you', 'are', 'all', 'I', 'need', 'I', ""'m"", 'in', 'the', 'middl', 'of', 'your', 'pictur', 'ly', 'in', 'the', 'reed', 'I', 'am', 'a', 'moth', 'who', 'just', 'want', 'to', 'share', 'your', 'light', 'I', ""'m"", 'just', 'an', 'insect', 'tri', 'to', 'get', 'out', 'of', 'the', 'night', 'I', 'onli', 'stick', 'with', 'you', 'becaus', 'there', 'are', 'no', 'other', 'you', 'are', 'all', 'I', 'need', 'you', 'are', 'all', 'I', 'need', 'I', 'am', 'in', 'the', 'middl', 'of', 'your', 'pictur', 'ly', 'in', 'the', 'reed', 'It', ""'s"", 'all', 'wrong', 'It', ""'s"", 'all', 'right', 'It', ""'s"", 'all', 'right', 'It', ""'s"", 'all', 'right', 'It', ""'s"", 'all', 'wrong', 'It', ""'s"", 'all', 'right', 'It', ""'s"", 'all', 'right', 'It', ""'s"", 'all', 'right', 'It', ""'s"", 'all', 'wrong', 'It', ""'s"", 'all', 'right']"
15,lianne la havas,no room for doubt,"['you', 'caught', 'me', 'guilti', 'take', 'the', 'piec', 'of', 'you', 'that', 'night', 'you', 'took', 'flight', 'I', 'could', ""n't"", 'decid', 'what', 'to', 'do', 'I', 'wo', ""n't"", 'let', 'a', 'safe', 'bet', 'continu', 'to', 'make', 'me', 'feel', 'blue', 'I', 'could', 'go', 'solo', 'would', 'that', 'be', 'the', 'right', 'thing', 'to', 'do', '?', 'We', 'all', 'make', 'mistak', 'we', 'do', 'I', 'learnt', 'from', 'you', 'We', 'all', 'make', 'mistak', 'we', 'do', 'I', 'learnt', 'from', 'you', 'I', 'tipto', 'too', 'slow', 'out', 'of', 'the', 'door', 'to', 'your', 'hous', 'I', 'know', 'you', 'know', 'that', 'thi', 'wa', 'lead', 'me', 'out', 'outsid', 'too', 'bright', 'you', ""'re"", 'within', 'I', ""'m"", 'without', 'you', ""'re"", 'within', 'We', 'all', 'make', 'mistak', 'we', 'do', 'I', 'learnt', 'from', 'you', 'We', 'all', 'make', 'mistak', 'we', 'do', 'I', 'learnt', 'from', 'you', 'pleas', 'sleep', 'softli', 'leav', 'me', 'no', 'room', 'for', 'doubt', 'pleas', 'sleep', 'softli', 'leav', 'me', 'no', 'room', 'for', 'doubt', 'pleas', 'sleep', 'softli', 'leav', 'me', 'no', 'room', 'for', 'doubt', 'pleas', 'sleep', 'softli', 'leav', 'me', 'no', 'room', 'for', 'doubt', 'leav', 'me', 'no', 'room', 'for', 'doubt', 'We', 'all', 'make', 'mistak', 'we', 'do', 'I', 'learnt', 'from', 'you', 'We', 'all', 'make', 'mistak', 'we', 'do', 'I', 'learnt', 'from', 'you', 'We', 'all', 'make', 'mistak', 'we', 'do', 'I', 'learnt', 'from', 'you', 'We', 'all', 'make', 'mistak', 'we', 'do', 'I', 'learnt', 'from', 'you', 'oh', 'pleas', 'sleep', 'softli', 'leav', 'me', 'no', 'pleas', 'sleep', 'softli', 'leav', 'me', 'no', 'room', 'for', 'doubt', 'pleas', 'sleep', 'softli', 'leav', 'me', 'no', 'pleas', 'sleep', 'softli', 'leav', 'me', 'no', 'room', 'for', 'doubt']"
16,carpenters,close to you,[]
17,bee gees,how deep is your love,"['I', 'know', 'your', 'eye', 'in', 'the', 'morn', 'sun', 'I', 'feel', 'you', 'touch', 'me', 'in', 'the', 'pour', 'rain', 'and', 'the', 'moment', 'that', 'you', 'wander', 'far', 'from', 'me', 'I', 'wan', 'na', 'feel', 'you', 'in', 'my', 'arm', 'again', 'and', 'you', 'come', 'to', 'me', 'on', 'a', 'summer', 'breez', 'keep', 'me', 'warm', 'in', 'your', 'love', 'then', 'you', 'softli', 'leav', 'and', 'it', ""'s"", 'me', 'you', 'need', 'to', 'show', 'how', 'deep', 'is', 'your', 'love', 'how', 'deep', 'is', 'your', 'love', 'how', 'deep', 'is', 'your', 'love', 'I', 'realli', 'mean', 'to', 'learn', 'and', 'caus', 'we', ""'re"", 'live', 'in', 'a', 'world', 'of', 'fool', 'break', 'us', 'down', 'when', 'they', 'all', 'should', 'let', 'us', 'be', 'We', 'belong', 'to', 'you', 'and', 'me', 'I', 'believ', 'in', 'you', 'you', 'know', 'the', 'door', 'to', 'my', 'veri', 'soul', 'you', ""'re"", 'the', 'light', 'in', 'my', 'deepest', 'darkest', 'hour', 'you', ""'re"", 'my', 'savior', 'when', 'I', 'fall', 'and', 'you', 'may', 'not', 'think', 'I', 'care', 'for', 'you', 'when', 'you', 'know', 'down', 'insid', 'that', 'I', 'realli', 'do', 'and', 'it', ""'s"", 'me', 'you', 'need', 'to', 'show', 'how', 'deep', 'is', 'your', 'love', 'how', 'deep', 'is', 'your', 'love', 'how', 'deep', 'is', 'your', 'love', 'I', 'realli', 'mean', 'to', 'learn', ""'caus"", 'we', ""'re"", 'live', 'in', 'a', 'world', 'of', 'fool', 'break', 'us', 'down', 'when', 'they', 'all', 'should', 'let', 'us', 'be', 'We', 'belong', 'to', 'you', 'and', 'me', 'and', 'you', 'come', 'to', 'me', 'on', 'a', 'summer', 'breez', 'keep', 'me', 'warm', 'in', 'your', 'love', 'then', 'you', 'softli', 'leav', 'and', 'it', ""'s"", 'me', 'you', 'need', 'to', 'show', 'how', 'deep', 'is', 'your', 'love', 'how', 'deep', 'is', 'your', 'love', 'how', 'deep', 'is', 'your', 'love', 'I', 'realli', 'mean', 'to', 'learn', ""'caus"", 'we', ""'re"", 'live', 'in', 'a', 'world', 'of', 'fool', 'break', 'us', 'down', 'when', 'they', 'all', 'should', 'let', 'us', 'be', 'We', 'belong', 'to', 'you', 'and', 'me', 'how', 'deep', 'is', 'your', 'love', 'how', 'deep', 'is', 'your', 'love', 'I', 'realli', 'mean', 'to', 'learn', ""'caus"", 'we', ""'re"", 'live', 'in', 'a', 'world', 'of', 'fool', 'break', 'us', 'down', 'when', 'they', 'all', 'should', 'let', 'us', 'be', 'We', 'belong', 'to', 'you', 'and', 'me', 'how', 'deep', 'is', 'your', 'love', 'how', 'deep', 'is', 'your', 'love', 'I', 'realli', 'mean', 'to', 'learn', ""'caus"", 'we', ""'re"", 'live', 'in', 'a', 'world', 'of', 'fool', 'break', 'us', 'down', 'when', 'they', 'all', 'should', 'let', 'us', 'be', 'We', 'belong', 'to', 'you', 'and', 'me']"
18,alicia keys,if i ain't got you,"['some', 'peopl', 'live', 'for', 'the', 'fortun', 'some', 'peopl', 'live', 'just', 'for', 'the', 'fame', 'some', 'peopl', 'live', 'for', 'the', 'power', 'yeah', 'some', 'peopl', 'live', 'just', 'to', 'play', 'the', 'game', 'some', 'peopl', 'think', 'that', 'the', 'physic', 'thing', 'defin', 'what', ""'s"", 'within', 'and', 'I', ""'ve"", 'been', 'there', 'befor', 'I', 'know', 'that', 'life', ""'s"", 'a', 'bore', 'So', 'full', 'of', 'the', 'superfici', 'some', 'peopl', 'want', 'it', 'all', 'but', 'I', 'do', ""n't"", 'want', 'noth', 'at', 'all', 'If', 'it', 'ai', ""n't"", 'you', 'babi', 'If', 'I', 'ai', ""n't"", 'got', 'you', 'babi', 'some', 'peopl', 'want', 'diamond', 'ring', 'some', 'just', 'want', 'everyth', 'but', 'everyth', 'mean', 'noth', 'If', 'I', 'ai', ""n't"", 'got', 'you', 'yeah', 'some', 'peopl', 'search', 'for', 'a', 'fountain', 'that', 'promis', 'forev', 'young', 'some', 'peopl', 'need', 'three', 'dozen', 'rose', 'and', 'that', ""'s"", 'the', 'onli', 'way', 'to', 'prove', 'you', 'love', 'him', 'hand', 'me', 'the', 'world', 'on', 'a', 'silver', 'platter', 'and', 'what', 'good', 'would', 'it', 'be', '?', 'with', 'no', 'one', 'to', 'share', 'with', 'no', 'one', 'who', 'truli', 'care', 'for', 'me', 'some', 'peopl', 'want', 'it', 'all', 'but', 'I', 'do', ""n't"", 'want', 'noth', 'at', 'all', 'If', 'it', 'ai', ""n't"", 'you', 'babi', 'If', 'I', 'ai', ""n't"", 'got', 'you', 'babi', 'some', 'peopl', 'want', 'diamond', 'ring', 'some', 'just', 'want', 'everyth', 'but', 'everyth', 'mean', 'noth', 'If', 'I', 'ai', ""n't"", 'got', 'you', 'you', 'you', 'some', 'peopl', 'want', 'it', 'all', 'but', 'I', 'do', ""n't"", 'want', 'noth', 'at', 'all', 'If', 'it', 'ai', ""n't"", 'you', 'babi', 'If', 'I', 'ai', ""n't"", 'got', 'you', 'babi', 'some', 'peopl', 'want', 'diamond', 'ring', 'some', 'just', 'want', 'everyth', 'but', 'everyth', 'mean', 'noth', 'If', 'I', 'ai', ""n't"", 'got', 'you', 'yeah', 'If', 'I', 'ai', ""n't"", 'got', 'you', 'with', 'me', 'babi', 'said', 'noth', 'in', 'thi', 'whole', 'wide', 'world', 'do', ""n't"", 'mean', 'a', 'thing', 'If', 'I', 'ai', ""n't"", 'got', 'you', 'with', 'me', 'babi']"
19,ibeyi,better in tune with the infinite,[]
20,pink floyd,comfortably numb,"['hello', 'Is', 'there', 'anybodi', 'in', 'there', '?', 'just', 'nod', 'if', 'you', 'can', 'hear', 'me', 'Is', 'there', 'anyon', 'home', '?', 'come', 'on', 'now', 'I', 'hear', 'you', ""'re"", 'feel', 'down', 'well', 'I', 'can', 'eas', 'your', 'pain', 'and', 'get', 'you', 'on', 'your', 'feet', 'again', 'relax', 'I', ""'ll"", 'need', 'some', 'inform', 'first', 'just', 'the', 'basic', 'fact', 'can', 'you', 'show', 'me', 'where', 'it', 'hurt', 'there', 'is', 'no', 'pain', 'you', 'are', 'reced', 'A', 'distant', 'ship', ""'s"", 'smoke', 'on', 'the', 'horizon', 'you', 'are', 'onli', 'come', 'through', 'in', 'wave', 'your', 'lip', 'move', 'but', 'I', 'ca', ""n't"", 'hear', 'what', 'you', ""'re"", 'say', 'when', 'I', 'wa', 'a', 'child', 'I', 'had', 'a', 'fever', 'My', 'hand', 'felt', 'just', 'like', 'two', 'balloon', 'now', 'I', ""'ve"", 'got', 'that', 'feel', 'onc', 'again', 'I', 'ca', ""n't"", 'explain', 'you', 'would', 'not', 'understand', 'thi', 'is', 'not', 'how', 'I', 'am', 'I', 'have', 'becom', 'comfort', 'numb', 'I', 'have', 'becom', 'comfort', 'numb', 'o.k', '.', 'just', 'a', 'littl', 'pin', 'prick', 'there', ""'ll"", 'be', 'no', 'more', '...', 'aaaaaaaah', '!', 'but', 'you', 'might', 'feel', 'a', 'littl', 'sick', 'can', 'you', 'stand', 'up', '?', 'I', 'do', 'believ', 'it', ""'s"", 'work', 'good', 'that', ""'ll"", 'keep', 'you', 'go', 'for', 'the', 'show', 'come', 'on', 'it', ""'s"", 'time', 'to', 'go', '.', 'there', 'is', 'no', 'pain', 'you', 'are', 'reced', 'A', 'distant', 'ship', ""'s"", 'smoke', 'on', 'the', 'horizon', 'you', 'are', 'onli', 'come', 'through', 'in', 'wave', 'your', 'lip', 'move', 'but', 'I', 'ca', ""n't"", 'hear', 'what', 'you', ""'re"", 'say', 'when', 'I', 'wa', 'a', 'child', 'I', 'caught', 'a', 'fleet', 'glimps', 'out', 'of', 'the', 'corner', 'of', 'my', 'eye', 'I', 'turn', 'to', 'look', 'but', 'it', 'wa', 'gone', 'I', 'can', 'not', 'put', 'my', 'finger', 'on', 'it', 'now', 'the', 'child', 'is', 'grown', 'the', 'dream', 'is', 'gone', 'and', 'I', 'have', 'becom', 'comfort', 'numb', '.']"
21,pink floyd,shine on your crazy diamond,[]
22,pink floyd,wish you were here,"['So', 'so', 'you', 'think', 'you', 'can', 'tell', 'heaven', 'from', 'hell', 'blue', 'sky', 'from', 'pain', 'can', 'you', 'tell', 'a', 'green', 'field', 'from', 'a', 'cold', 'steel', 'rail', '?', 'A', 'smile', 'from', 'a', 'veil', '?', 'Do', 'you', 'think', 'you', 'can', 'tell', '?', 'did', 'they', 'get', 'you', 'to', 'trade', 'your', 'hero', 'for', 'ghost', '?', 'hot', 'ash', 'for', 'tree', '?', 'hot', 'air', 'for', 'a', 'cool', 'breez', '?', 'cold', 'comfort', 'for', 'chang', '?', 'and', 'did', 'you', 'exchang', 'A', 'walk', 'on', 'part', 'in', 'the', 'war', 'for', 'a', 'lead', 'role', 'in', 'a', 'cage', '?', 'how', 'I', 'wish', 'how', 'I', 'wish', 'you', 'were', 'here', 'We', ""'re"", 'just', 'two', 'lost', 'soul', 'swim', 'in', 'a', 'fish', 'bowl', 'year', 'after', 'year', 'run', 'over', 'the', 'same', 'old', 'ground', 'what', 'have', 'we', 'found', 'the', 'same', 'old', 'fear', 'wish', 'you', 'were', 'here']"
23,led zeppelin,stairway to heaven,"['there', ""'s"", 'a', 'ladi', 'who', ""'s"", 'sure', 'all', 'that', 'glitter', 'is', 'gold', 'and', 'she', ""'s"", 'buy', 'a', 'stairway', 'to', 'heaven', 'when', 'she', 'get', 'there', 'she', 'know', 'if', 'the', 'store', 'are', 'all', 'close', 'with', 'a', 'word', 'she', 'can', 'get', 'what', 'she', 'came', 'for', 'ooh', 'ooh', 'and', 'she', ""'s"", 'buy', 'a', 'stairway', 'to', 'heaven', 'there', ""'s"", 'a', 'sign', 'on', 'the', 'wall', 'but', 'she', 'want', 'to', 'be', 'sure', ""'caus"", 'you', 'know', 'sometim', 'word', 'have', 'two', 'mean', 'In', 'a', 'tree', 'by', 'the', 'brook', 'there', ""'s"", 'a', 'songbird', 'who', 'sing', 'sometim', 'all', 'of', 'our', 'thought', 'are', 'misgiven', 'ooh', 'it', 'make', 'me', 'wonder', 'ooh', 'it', 'make', 'me', 'wonder', 'there', ""'s"", 'a', 'feel', 'I', 'get', 'when', 'I', 'look', 'to', 'the', 'west', 'and', 'my', 'spirit', 'is', 'cri', 'for', 'leav', 'In', 'my', 'thought', 'I', 'have', 'seen', 'ring', 'of', 'smoke', 'through', 'the', 'tree', 'and', 'the', 'voic', 'of', 'those', 'who', 'stand', 'look', 'ooh', 'it', 'make', 'me', 'wonder', 'ooh', 'it', 'realli', 'make', 'me', 'wonder', 'and', 'it', ""'s"", 'whisper', 'that', 'soon', 'if', 'we', 'all', 'call', 'the', 'tune', 'then', 'the', 'piper', 'will', 'lead', 'us', 'to', 'reason', 'and', 'a', 'new', 'day', 'will', 'dawn', 'for', 'those', 'who', 'stand', 'long', 'and', 'the', 'forest', 'will', 'echo', 'with', 'laughter', 'If', 'there', ""'s"", 'a', 'bustl', 'in', 'your', 'hedgerow', 'do', ""n't"", 'be', 'alarm', 'now', 'It', ""'s"", 'just', 'a', 'spring', 'clean', 'for', 'the', 'may', 'queen', 'ye', 'there', 'are', 'two', 'path', 'you', 'can', 'go', 'by', 'but', 'in', 'the', 'long', 'run', 'there', ""'s"", 'still', 'time', 'to', 'chang', 'the', 'road', 'you', ""'re"", 'on', 'and', 'it', 'make', 'me', 'wonder', 'your', 'head', 'is', 'hum', 'and', 'it', 'wo', ""n't"", 'go', 'in', 'case', 'you', 'do', ""n't"", 'know', 'the', 'piper', ""'s"", 'call', 'you', 'to', 'join', 'him', 'dear', 'ladi', 'can', 'you', 'hear', 'the', 'wind', 'blow', 'and', 'did', 'you', 'know', 'your', 'stairway', 'lie', 'on', 'the', 'whisper', 'wind', '?', 'and', 'as', 'we', 'wind', 'on', 'down', 'the', 'road', 'our', 'shadow', 'taller', 'than', 'our', 'soul', 'there', 'walk', 'a', 'ladi', 'we', 'all', 'know', 'who', 'shine', 'white', 'light', 'and', 'want', 'to', 'show', 'how', 'everyth', 'still', 'turn', 'to', 'gold', 'and', 'if', 'you', 'listen', 'veri', 'hard', 'the', 'tune', 'will', 'come', 'to', 'you', 'at', 'last', 'when', 'all', 'are', 'one', 'and', 'one', 'is', 'all', 'To', 'be', 'a', 'rock', 'and', 'not', 'to', 'roll', 'and', 'she', ""'s"", 'buy', 'a', 'stairway', 'to', 'heaven']"
24,david bowie,space oddity,"['ground', 'control', 'to', 'major', 'tom', 'ground', 'control', 'to', 'major', 'tom', 'take', 'your', 'protein', 'pill', 'and', 'put', 'your', 'helmet', 'on', 'ground', 'control', 'to', 'major', 'tom', '(', 'ten', 'nine', 'eight', 'seven', 'six', ')', 'commenc', 'countdown', 'engin', 'on', '(', 'five', 'four', 'three', 'two', ')', 'check', 'ignit', 'and', 'may', 'god', ""'s"", 'love', 'be', 'with', 'you', '(', 'two', 'one', 'liftoff', ')', 'thi', 'is', 'ground', 'control', 'to', 'major', 'tom', 'you', ""'ve"", 'realli', 'made', 'the', 'grade', 'and', 'the', 'paper', 'want', 'to', 'know', 'whose', 'shirt', 'you', 'wear', 'now', 'it', ""'s"", 'time', 'to', 'leav', 'the', 'capsul', 'if', 'you', 'dare', 'thi', 'is', 'major', 'tom', 'to', 'ground', 'control', 'I', ""'m"", 'step', 'through', 'the', 'door', 'and', 'I', ""'m"", 'float', 'in', 'the', 'most', 'peculiar', 'way', 'and', 'the', 'star', 'look', 'veri', 'differ', 'today', 'for', 'here', 'am', 'I', 'sit', 'in', 'my', 'tin', 'can', 'far', 'abov', 'the', 'world', 'planet', 'earth', 'is', 'blue', 'and', 'there', ""'s"", 'noth', 'I', 'can', 'do', 'though', 'I', ""'m"", 'past', 'one', 'hundr', 'thousand', 'mile', 'I', ""'m"", 'feel', 'veri', 'still', 'and', 'I', 'think', 'my', 'spaceship', 'know', 'which', 'way', 'to', 'go', 'tell', 'my', 'wife', 'I', 'love', 'her', 'veri', 'much', 'she', 'know', 'ground', 'control', 'to', 'major', 'tom', 'your', 'circuit', ""'s"", 'dead', 'there', ""'s"", 'someth', 'wrong', 'can', 'you', 'hear', 'me', 'major', 'tom', '?', 'can', 'you', 'hear', 'me', 'major', 'tom', '?', 'can', 'you', 'hear', 'me', 'major', 'tom', '?', 'can', 'you', 'hear-', 'and', 'I', ""'m"", 'float', 'around', 'my', 'tin', 'can', 'far', 'abov', 'the', 'moon', 'planet', 'earth', 'is', 'blue', 'and', 'there', ""'s"", 'noth', 'I', 'can', 'do']"
25,the mamas and the papas,california dreamin',"['all', 'the', 'leav', 'are', 'brown', '(', 'all', 'the', 'leav', 'are', 'brown', ')', 'and', 'the', 'sky', 'is', 'gray', '(', 'and', 'the', 'sky', 'is', 'gray', ')', 'I', ""'ve"", 'been', 'for', 'a', 'walk', '(', 'I', ""'ve"", 'been', 'for', 'a', 'walk', ')', 'On', 'a', 'winter', ""'s"", 'day', '(', 'on', 'a', 'winter', ""'s"", 'day', ')', 'I', ""'d"", 'be', 'safe', 'and', 'warm', '(', 'I', ""'d"", 'be', 'safe', 'and', 'warm', ')', 'If', 'I', 'wa', 'in', 'l.a.', '(', 'if', 'I', 'wa', 'in', 'l.a.', ')', 'california', 'dreamin', ""'"", '(', 'california', 'dreamin', ""'"", ')', 'On', 'such', 'a', 'winter', ""'s"", 'day', 'stop', 'into', 'a', 'church', 'I', 'pass', 'along', 'the', 'way', 'well', 'I', 'got', 'down', 'on', 'my', 'knee', '(', 'got', 'down', 'on', 'my', 'knee', ')', 'and', 'I', 'pretend', 'to', 'pray', '(', 'I', 'pretend', 'to', 'pray', ')', 'you', 'know', 'the', 'preacher', 'like', 'the', 'cold', '(', 'preacher', 'like', 'the', 'cold', ')', 'He', 'know', 'I', ""'m"", 'gon', 'na', 'stay', '(', 'know', 'I', ""'m"", 'gon', 'na', 'stay', ')', 'california', 'dreamin', ""'"", '(', 'california', 'dreamin', ""'"", ')', 'On', 'such', 'a', 'winter', ""'s"", 'day', 'all', 'the', 'leav', 'are', 'brown', '(', 'all', 'the', 'leav', 'are', 'brown', ')', 'and', 'the', 'sky', 'is', 'gray', '(', 'and', 'the', 'sky', 'is', 'gray', ')', 'I', ""'ve"", 'been', 'for', 'a', 'walk', '(', 'I', ""'ve"", 'been', 'for', 'a', 'walk', ')', 'On', 'a', 'winter', ""'s"", 'day', '(', 'on', 'a', 'winter', ""'s"", 'day', ')', 'If', 'I', 'did', ""n't"", 'tell', 'her', '(', 'if', 'I', 'did', ""n't"", 'tell', 'her', ')', 'I', 'could', 'leav', 'today', '(', 'I', 'could', 'leav', 'today', ')', 'california', 'dreamin', ""'"", '(', 'california', 'dreamin', ""'"", ')', 'On', 'such', 'a', 'winter', ""'s"", 'day', '(', 'california', 'dreamin', ""'"", ')', 'On', 'such', 'a', 'winter', ""'s"", 'day', '(', 'california', 'dreamin', ""'"", ')', 'On', 'such', 'a', 'winter', ""'s"", 'day']"
